date,close,open,high,low,volume,trading_value,market_cap,per,pbr,eps,listed_shares,company_name,code,listing_date
2022-11-02,1975.0,2000.0,2000.0,1975.0,1235633,2460860580.0,0.0,0.0,0.0,0.0,0.0,교보13호기업인수목적,440790,2022-11-02
2022-11-03,1960.0,1965.0,1975.0,1955.0,176563,346565345.0,0.0,0.0,0.0,0.0,0.0,교보13호기업인수목적,440790,2022-11-02
2023-07-06,6810.0,2170.0,7980.0,2170.0,91339465,566182135835.0,0.0,0.0,0.0,0.0,0.0,교보14호기업인수목적,456490,2023-07-06
2023-07-07,5590.0,7700.0,8190.0,5490.0,20982331,147972539310.0,0.0,0.0,0.0,0.0,0.0,교보14호기업인수목적,456490,2023-07-06
2023-12-05,1975.0,4900.0,5190.0,1970.0,79012679,301530852479.0,0.0,0.0,0.0,0.0,0.0,교보15호기업인수목적,465320,2023-12-05
2023-12-06,2005.0,1992.0,2100.0,1977.0,1909265,3828267694.0,0.0,0.0,0.0,0.0,0.0,교보15호기업인수목적,465320,2023-12-05
2024-08-13,2060.0,2300.0,3380.0,2040.0,88451222,244395640880.0,0.0,0.0,0.0,0.0,0.0,교보16호기업인수목적,482520,2024-08-13
2024-08-14,2060.0,2055.0,2065.0,2050.0,2163708,4447372095.0,0.0,0.0,0.0,0.0,0.0,교보16호기업인수목적,482520,2024-08-13
2024-11-21,2160.0,2150.0,5380.0,2055.0,168753868,681676303050.0,0.0,0.0,0.0,0.0,0.0,교보17호기업인수목적,489210,2024-11-21
2024-11-22,1998.0,2160.0,2170.0,1994.0,4551114,9167013988.0,0.0,0.0,0.0,0.0,0.0,교보17호기업인수목적,489210,2024-11-21
2023-03-13,16200.0,19000.0,19570.0,14600.0,16926708,293504586410.0,0.0,0.0,0.0,0.0,0.0,금양그린파워,282720,2023-03-13
2023-03-14,21050.0,15710.0,21050.0,15620.0,15037370,279737158820.0,0.0,0.0,0.0,0.0,0.0,금양그린파워,282720,2023-03-13
2023-05-24,79000.0,71200.0,88500.0,68000.0,7906842,629998748400.0,0.0,0.0,0.0,0.0,0.0,기가비스,420770,2023-05-24
2023-05-25,74600.0,82700.0,84800.0,72700.0,1501211,118911563700.0,0.0,0.0,0.0,0.0,0.0,기가비스,420770,2023-05-24
2023-02-09,13000.0,10000.0,13000.0,10000.0,323629,4175809000.0,0.0,0.0,0.0,0.0,0.0,꿈비,407400,2023-02-09
2023-02-10,16900.0,16800.0,16900.0,15910.0,2199394,36283455880.0,0.0,0.0,0.0,0.0,0.0,꿈비,407400,2023-02-09
2024-08-20,23700.0,27000.0,29550.0,23700.0,9683947,260291866150.0,0.0,0.0,0.0,0.0,0.0,넥스트바이오메디컬,389650,2024-08-20
2024-08-21,23700.0,23200.0,25200.0,21400.0,3119556,71573742400.0,0.0,0.0,0.0,0.0,0.0,넥스트바이오메디컬,389650,2024-08-20
2024-11-12,19400.0,21500.0,22400.0,19320.0,4975405,103348120860.0,0.0,0.0,0.0,0.0,0.0,노머스,473980,2024-11-12
2024-11-13,18290.0,18970.0,19290.0,17250.0,1401189,25632223890.0,0.0,0.0,0.0,0.0,0.0,노머스,473980,2024-11-12
2024-05-23,54300.0,31000.0,55500.0,30850.0,34223286,1548157787350.0,0.0,0.0,0.0,0.0,0.0,노브랜드,145170,2024-05-23
2024-05-24,52700.0,48500.0,67800.0,48000.0,14534779,865825110250.0,0.0,0.0,0.0,0.0,0.0,노브랜드,145170,2024-05-23
2023-09-19,3100.0,3060.0,3350.0,2740.0,21656452,64121740175.0,0.0,0.0,0.0,0.0,0.0,농업회사법인 우듬지팜,403490,2023-09-19
2023-09-20,3550.0,3325.0,4030.0,2995.0,90894804,325773610305.0,0.0,0.0,0.0,0.0,0.0,농업회사법인 우듬지팜,403490,2023-09-19
2024-06-11,11000.0,14850.0,15490.0,10850.0,3183508,39389431040.0,0.0,0.0,0.0,0.0,0.0,다원넥스뷰,323350,2024-06-11
2024-06-12,10050.0,10720.0,11060.0,10050.0,837434,8642547380.0,0.0,0.0,0.0,0.0,0.0,다원넥스뷰,323350,2024-06-11
2024-11-13,8610.0,9520.0,11950.0,8610.0,17632432,178892543150.0,0.0,0.0,0.0,0.0,0.0,닷밀,464580,2024-11-13
2024-11-14,7680.0,8350.0,9400.0,7620.0,6339304,55044518750.0,0.0,0.0,0.0,0.0,0.0,닷밀,464580,2024-11-13
2022-08-22,14600.0,13000.0,15450.0,12950.0,14822381,214150085450.0,0.0,0.0,0.0,0.0,0.0,대성하이텍,129920,2022-08-22
2022-08-23,14950.0,14600.0,15900.0,14200.0,5547904,82236986800.0,0.0,0.0,0.0,0.0,0.0,대성하이텍,129920,2022-08-22
2022-12-05,1995.0,1985.0,1995.0,1980.0,476937,947691190.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제14호기업인수목적,442310,2022-12-05
2022-12-06,2000.0,2000.0,2000.0,1990.0,100525,200816485.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제14호기업인수목적,442310,2022-12-05
2023-08-30,2035.0,2655.0,3045.0,2035.0,61004368,160470203305.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제15호기업인수목적,457390,2023-08-30
2023-08-31,2015.0,2035.0,2065.0,2015.0,3278471,6642922770.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제15호기업인수목적,457390,2023-08-30
2023-09-04,2005.0,2670.0,2870.0,2005.0,32146665,77352696072.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제16호기업인수목적,457630,2023-09-04
2023-09-05,2025.0,2010.0,2030.0,2005.0,1354664,2721934490.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제16호기업인수목적,457630,2023-09-04
2024-01-24,2140.0,5970.0,6500.0,2125.0,100170753,482624911200.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제17호기업인수목적,471050,2024-01-24
2024-01-25,2095.0,2140.0,2200.0,2060.0,3651337,7681090195.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제17호기업인수목적,471050,2024-01-24
2024-08-22,2025.0,2620.0,3120.0,2025.0,54057436,127056850345.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제18호기업인수목적,478780,2024-08-22
2024-08-23,2040.0,2030.0,2040.0,2025.0,1235774,2508707925.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제18호기업인수목적,478780,2024-08-22
2024-11-20,1993.0,2000.0,2000.0,1991.0,4605355,9192956608.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제19호기업인수목적,482690,2024-11-20
2024-11-21,1997.0,1998.0,1998.0,1994.0,341589,682007367.0,0.0,0.0,0.0,0.0,0.0,대신밸런스제19호기업인수목적,482690,2024-11-20
2024-01-25,7600.0,7600.0,7600.0,7200.0,3145150,23885770420.0,0.0,0.0,0.0,0.0,0.0,드림인사이트,362990,2024-01-25
2024-01-26,5390.0,7500.0,8240.0,5320.0,13383071,88253915610.0,0.0,0.0,0.0,0.0,0.0,드림인사이트,362990,2024-01-25
2023-07-12,4435.0,5750.0,6860.0,4435.0,41272601,241532110145.0,0.0,0.0,0.0,0.0,0.0,디비금융제11호기업인수목적,456440,2023-07-12
2023-07-13,3300.0,4155.0,4315.0,3300.0,10854643,39978293280.0,0.0,0.0,0.0,0.0,0.0,디비금융제11호기업인수목적,456440,2023-07-12
2024-06-18,2065.0,4925.0,5350.0,2065.0,83450534,316504463950.0,0.0,0.0,0.0,0.0,0.0,디비금융제12호기업인수목적,477760,2024-06-18
