company_name,code,listing_date,ipo_price_confirmed,actual_day0_high,actual_day0_close,actual_day1_close,predicted_day0_high,predicted_day0_close,predicted_day1_close,error_day0_high,error_day0_close,error_day1_close,actual_day0_return,predicted_day0_return
넥스트바이오메디컬,389650,2024-08-20,29000,29550.0,23700.0,23700.0,39151.504960317456,34527.7093831169,33900.904563492055,9601.504960317456,10827.709383116897,10200.904563492055,-18.275862068965516,19.061066838334124
노머스,473980,2024-11-12,30200,22400.0,19400.0,18290.0,32872.93149350649,32116.788928571437,32704.6988095238,10472.93149350649,12716.788928571437,14414.698809523801,-35.76158940397351,6.346983207190189
닷밀,464580,2024-11-13,13000,11950.0,8610.0,7680.0,23028.354087301595,17768.19960317461,17675.181825396827,11078.354087301595,9158.19960317461,9995.181825396827,-33.76923076923077,36.67845848595853
루미르,474170,2024-10-21,12000,19180.0,14910.0,12560.0,21541.682480158735,21872.088928571426,27311.02666666668,2361.6824801587354,6962.088928571426,14751.02666666668,24.25,82.26740773809522
뱅크웨어글로벌,199480,2024-08-12,16000,19800.0,15750.0,12800.0,42851.96098873349,22059.029880952385,23508.39993867243,23051.96098873349,6309.029880952385,10708.399938672432,-1.5625,37.868936755952404
벡트,457600,2024-12-16,3900,10640.0,7730.0,6300.0,12589.700873015878,10559.314722222223,10762.933452380956,1949.7008730158777,2829.3147222222233,4462.933452380956,98.2051282051282,170.75165954415957
사이냅소프트,466410,2024-11-19,24500,23200.0,18490.0,17150.0,36816.53869047619,27811.568430735926,29366.96849206349,13616.53869047619,9321.568430735926,12216.96849206349,-24.53061224489796,13.516605839738475
성우,458650,2024-10-31,32000,32300.0,28000.0,28600.0,39063.44419191918,35497.73226190476,35653.52523809523,6763.444191919181,7497.732261904763,7053.52523809523,-12.5,10.930413318452384
셀비온,308430,2024-10-16,15000,26850.0,20650.0,26800.0,38654.02132783883,26886.224285714277,31356.699329004343,11804.021327838833,6236.224285714277,4556.699329004343,37.666666666666664,79.24149523809518
쓰리빌리언,394800,2024-11-14,4500,6300.0,4100.0,3290.0,14138.083234126982,6678.305575396826,7043.595526695526,7838.083234126982,2578.3055753968256,3753.595526695526,-8.88888888888889,48.4067905643739
씨메스,475400,2024-10-24,30000,37450.0,23100.0,19850.0,56115.30714285714,45158.26210317459,44001.03809523809,18665.307142857142,22058.262103174588,24151.038095238087,-23.0,50.52754034391529
아이비젼웍스,469750,2024-09-03,17000,4260.0,4260.0,3900.0,32041.694166666675,25747.319761904757,26873.70440476191,27781.694166666675,21487.319761904757,22973.70440476191,-74.94117647058823,51.454822128851504
아이빔테크놀로지,460470,2024-08-06,10000,20150.0,13360.0,13360.0,15280.682460317461,12203.96226190476,14501.28035714286,-4869.317539682539,-1156.0377380952395,1141.2803571428594,33.6,22.039622619047606
아이언디바이스,464500,2024-09-23,7000,18370.0,10900.0,11100.0,15213.3026984127,11324.007579365078,11757.854841269842,-3156.697301587301,424.0075793650776,657.8548412698419,55.714285714285715,61.771536848072536
알에프시스템즈,474610,2024-11-19,14000,8410.0,5860.0,6540.0,25077.740119047616,15883.236111111113,16860.866388888888,16667.740119047616,10023.236111111113,10320.866388888888,-58.14285714285714,13.451686507936522
에스지헬스케어,398120,2024-12-19,1800,6880.0,4980.0,4350.0,14565.327420634923,11740.071865079366,11391.571388888888,7685.327420634923,6760.071865079366,7041.571388888888,176.66666666666666,552.2262147266314
에스켐,475660,2024-11-18,10000,11480.0,7090.0,6840.0,21724.24896103896,18932.56323232323,15833.971785714284,10244.24896103896,11842.563232323231,8993.971785714284,-29.099999999999998,89.32563232323231
에이치이엠파마,376270,2024-11-05,23000,20650.0,16400.0,13850.0,34943.58804112554,26966.652002164497,29010.511349206346,14293.588041125542,10566.652002164497,15160.511349206346,-28.695652173913043,17.24631305288912
엑셀세라퓨틱스,373110,2024-07-15,10000,12900.0,8330.0,8330.0,16152.268134920632,13847.82543650794,13262.278055555553,3252.2681349206323,5517.825436507939,4932.278055555553,-16.7,38.47825436507939
엠83,476080,2024-08-22,16000,54800.0,22300.0,18510.0,48337.11378787879,29053.788492063493,31490.37607142858,-6462.886212121208,6753.788492063493,12980.376071428582,39.375,81.58617807539683
엠에프씨,432980,2024-12-26,16000,8440.0,7180.0,6150.0,30910.30337301587,21097.0044047619,20819.029285714292,22470.30337301587,13917.004404761901,14669.029285714292,-55.125,31.856277529761883
엠오티,413390,2024-11-18,10000,10660.0,7800.0,7430.0,14567.394365079366,12928.708571428575,12777.337142857143,3907.3943650793663,5128.708571428575,5347.337142857143,-22.0,29.287085714285748
온코닉테라퓨틱스,476060,2024-12-19,13000,26100.0,17300.0,21400.0,38114.89531746032,25642.801388888885,27023.41769841271,12014.895317460323,8342.801388888885,5623.417698412712,33.07692307692307,97.25231837606835
온코크로스,382150,2024-12-18,7300,14450.0,8960.0,8550.0,13748.457341269845,10446.736388888887,11173.504722222226,-701.5426587301554,1486.7363888888867,2623.5047222222256,22.73972602739726,43.10597792998475
위츠,459100,2024-11-20,6400,23850.0,14690.0,15080.0,13003.787777777778,14388.862976190476,20068.27095238095,-10846.212222222222,-301.1370238095242,4988.27095238095,129.53125,124.82598400297617
유디엠텍,389680,2024-11-20,6400,1649.0,1368.0,1241.0,7187.234126984126,6673.4568452380945,7292.710454545454,5538.234126984126,5305.4568452380945,6051.710454545454,-78.625,4.272763206845227
이노스페이스,462350,2024-07-02,43300,46050.0,34450.0,31150.0,58760.36825396828,41139.28761904762,46359.77519841272,12710.368253968278,6689.287619047624,15209.775198412717,-20.438799076212472,-4.990097877488167
케이쓰리아이,431190,2024-08-20,15500,15950.0,10550.0,9780.0,22495.90396825397,18898.21769480519,16592.30666666667,6545.90396825397,8348.21769480519,6812.306666666671,-31.93548387096774,21.923985127775413
클로봇,466100,2024-10-28,13000,12700.0,10070.0,9670.0,24002.178611111107,17814.321349206348,20327.458733766234,11302.178611111107,7744.321349206348,10657.458733766234,-22.538461538461537,37.03324114774114
토모큐브,475960,2024-11-07,16000,13990.0,10070.0,12120.0,27627.314246031754,20339.056230158734,23158.857579365078,13637.314246031754,10269.056230158734,11038.857579365078,-37.0625,27.119101438492088
티디에스팜,464280,2024-08-21,13000,52000.0,52000.0,42350.0,42064.52452380952,32793.254523809526,39994.596547619054,-9935.475476190477,-19206.745476190474,-2355.403452380946,300.0,152.25580402930404
파인메딕스,387570,2024-12-26,10000,27000.0,16000.0,14450.0,27070.16757936508,20578.030476190477,20366.75619047619,70.16757936507929,4578.030476190477,5916.75619047619,60.0,105.78030476190476
피앤에스미캐닉스,460940,2024-07-31,22000,32750.0,25050.0,22050.0,43949.43829365079,31842.868730158734,30836.974801587305,11199.43829365079,6792.868730158734,8786.974801587305,13.863636363636363,44.740312409812425
하스,450330,2024-07-03,16000,29550.0,17150.0,15680.0,39480.178769841266,25984.040753968246,22297.948571428573,9930.178769841266,8834.040753968246,6617.948571428573,7.187499999999999,62.40025471230154
한켐,457370,2024-10-22,18000,33300.0,22800.0,20350.0,50951.435930735934,29088.6351948052,29197.84418470419,17651.435930735934,6288.6351948052,8847.84418470419,26.666666666666668,61.60352886002889
