sector_38,count,mean_return,median_return,std_return,avg_ipo_price,avg_subscription_rate,avg_institutional_rate
기타 엔지니어링 서비스업,1,300.0,300.0,,5300.0,2707.18,1263.32
전자 축전기 제조업,1,300.0,300.0,,6000.0,1164.5,396.84
"의복,의복액세서리 및 모피제품 제조업",1,287.86,287.86,,14000.0,2071.41,1075.61
완제 의약품 제조업,2,199.83,199.83,141.67,35500.0,1097.58,910.08
물질 성분 검사 및 분석업,1,176.92,176.92,,13000.0,2654.19,865.73
상품 중개업,1,176.6,176.6,,4700.0,0.0,0.0
산업용 로봇 제조업,3,175.86,202.21,66.36,13433.33,1502.91,676.73
의약품 도매업,1,168.42,168.42,,19000.0,800.34,582.24
금속파스너 및 나사제품 제조업,1,165.0,165.0,,14000.0,1997.39,670.6
가구 제조업,1,160.0,160.0,,5000.0,1772.59,1547.13
일반 목적용 기계 제조업,1,150.4,150.4,,12400.0,1657.6,1644.01
전기 공급 및 제어장치 제조업,1,141.18,141.18,,8500.0,0.0,0.0
기타 절연선 및 케이블 제조업,1,140.28,140.28,,3600.0,0.0,0.0
데이터베이스 및 온라인 정보제공업,1,137.14,137.14,,7000.0,1988.83,1362.5
기타 전자부품 제조업,1,129.53,129.53,,6400.0,111.97,997.37
가구 소매업,1,121.67,121.67,,18000.0,2650.33,966.9
일반목적용 기계 제조업,1,117.41,117.41,,13500.0,0.0,0.0
전동기 및 발전기 제조업,1,116.57,116.57,,7000.0,2549.13,1099.21
선박 및 수상 부유 구조물 건조업,1,115.4,115.4,,50000.0,0.0,0.0
기타 금융 투자업,2,113.28,113.28,22.94,3700.0,1119.05,895.8
특수 목적용 기계 제조업,4,110.88,55.22,126.64,13125.0,1216.12,1111.62
그 외 기타 분류 안된 화학제품 제조업,2,104.7,104.7,64.57,24500.0,687.24,314.98
화장품 제조업,3,101.01,117.65,68.83,36100.0,1193.82,1206.72
무기 및 총포탄 제조업,1,98.31,98.31,,7700.0,0.0,0.0
비디오 및 기타 영상 기기 제조업,1,98.21,98.21,,3900.0,1170.34,963.77
기타 과학기술 서비스업,1,94.32,94.32,,4400.0,1286.85,1276.73
의료용품 및 기타 의약품관련제품 제조업,1,92.73,92.73,,11000.0,0.0,0.0
기타 화학제품 제조업,3,85.19,107.14,87.86,18866.67,1350.32,1630.17
기타 특수목적용 기계 제조업,1,83.72,83.72,,43000.0,823.74,1669.6
의료기기 및 화장품 제조,1,81.65,81.65,,9100.0,0.0,0.0
"환경컨설팅, 및 온실가스배출권매매 및 관련사업",1,79.54,79.54,,34700.0,19.69,75.14
1차 플라스틱제품 제조업,1,73.6,73.6,,5000.0,1452.49,1595.7
"플라스틱 선, 봉, 관 및 호스 제조업",1,73.27,73.27,,11000.0,499.64,573.97
"영화, 비디오물, 방송프로그램 제작 및 배급업",3,70.84,37.94,78.1,19833.33,593.71,582.12
기금 운영업,1,65.69,65.69,,5100.0,1165.75,1298.41
"건축기술, 엔지니어링 및 관련 기술 서비스업",1,65.38,65.38,,13000.0,142.47,352.61
정밀 화학제품 제조업,1,62.11,62.11,,16100.0,0.0,0.0
전기 및 통신 공사업,1,62.0,62.0,,10000.0,1312.1,1613.16
반도체 제조용 기계 제조업,1,61.23,61.23,,11400.0,0.0,0.0
의학 및 약학 연구개발업,8,60.41,48.21,62.81,17175.0,178.52,136.07
전자축전기 제조업,1,58.06,58.06,,18000.0,734.49,988.32
기초 의약물질 및 생물학적 제제 제조업,2,57.41,57.41,21.48,7000.0,412.78,126.45
컴퓨터 제조업,1,56.92,56.92,,13000.0,1682.0,1836.61
자동차용 신품 동력전달장치 제조업,1,56.67,56.67,,30000.0,1645.13,649.11
"구조용 금속제품, 탱크 및 증기발생기 제조업",2,54.19,54.19,101.32,25400.0,501.48,590.67
방사선 장치 및 전기식 진단 기기 제조업,1,53.44,53.44,,16000.0,2140.38,1115.44
소프트웨어 개발 및 공급업,13,52.79,22.4,77.57,14200.0,632.73,776.93
절연선 및 케이블 제조업,1,51.78,51.78,,4500.0,1568.04,1673.33
그 외 기타 특수목적용 기계 제조업,1,50.56,50.56,,9000.0,0.0,0.0
자동차 신품 부품 제조업,1,50.19,50.19,,26000.0,1891.4,583.5
의료용품 및 기타 의약관련제품 제조업,1,46.75,46.75,,20000.0,2126.13,993.21
컴퓨터시스템 통합 자문 및 구축 서비스업,3,46.47,-1.56,90.62,30966.67,79.73,51.91
컨베이어장치 제조업,1,45.78,45.78,,13500.0,0.0,0.0
시스템 소프트웨어 개발 및 공급업,3,45.75,-12.56,109.75,11733.33,364.83,311.3
"의료, 정밀 및 과학기기 도매업",1,44.35,44.35,,4600.0,0.0,0.0
보증 보험업,1,43.85,43.85,,26000.0,0.0,0.0
영상 및 음향기기 제조업,1,43.33,43.33,,12000.0,1481.83,1688.87
일반 영화 및 비디오물 제작업,1,39.38,39.38,,16000.0,638.05,1024.72
기타 금속 가공제품 제조업,2,38.96,38.96,47.09,9050.0,498.88,1239.84
비메모리용 및 기타 전자집적회로 제조업,2,38.46,38.46,24.41,16000.0,1362.44,821.44
기초 화학물질 제조업,3,37.3,35.14,38.07,29566.67,874.56,944.7
선박 구성 부분품 제조업,1,34.83,34.83,,30000.0,0.0,0.0
그 외 기타 전자부품 제조업,1,33.6,33.6,,10000.0,1094.66,1011.5
의약품 제조업,5,31.34,37.67,22.77,12000.0,555.19,530.51
그 외 자동차용 신품 부품 제조업,1,30.88,30.88,,8000.0,1366.31,1813.42
기타 주변기기 제조업,1,29.72,29.72,,18000.0,699.04,839.03
응용소프트웨어 개발 및 공급업,5,29.08,22.29,57.63,15800.0,901.55,1013.75
"레이더, 항행용 무선 기기 및 측량 기구 제조업",1,25.39,25.39,,11500.0,2229.39,1072.3
반도체 제조업,4,25.31,9.07,48.75,21375.0,700.74,1121.42
의료용 기기 제조업,3,25.01,33.31,39.79,17333.33,569.14,602.94
금속 주조업,1,24.71,24.71,,17000.0,1506.58,914.02
"유인 항공기, 항공 우주선 및 보조장치 제조업",1,24.25,24.25,,12000.0,130.78,13.1
일차전지 및 축전지 제조업,1,23.33,23.33,,30000.0,11.95,451.49
자연과학 및 공학 연구개발업,7,22.86,36.56,31.96,17285.71,502.7,406.75
응용 소프트웨어 개발 및 공급업,3,21.09,-12.6,82.01,15333.33,206.3,224.14
"물질 검사, 측정 및 분석기구 제조업",1,16.46,16.46,,4800.0,630.75,765.86
기타 전기장비 제조업,1,15.12,15.12,,8000.0,14.59,129.06
만화 출판업,1,15.0,15.0,,9000.0,1917.16,1821.64
자동차 부품 제조업,1,13.33,13.33,,30000.0,1000.82,725.94
